Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.88541603088379,0.4885057471264368,,,,,,,,,,,,,,,900000,,
00:15:00.000Z,00:30:00.000Z,17.88541603088379,0.4885057471264368,,,,,,,,,,,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,17.88541603088379,0.4885057471264368,,,,,,,,,,,,,,,900000,,
00:45:00.000Z,01:00:00.000Z,17.88541608957144,0.4885057471264368,,,,,,,,,,,,,,,900000,,
01:00:00.000Z,01:15:00.000Z,17.885416471041164,0.4885057471264368,,,,,,,,,,,,,,,900000,,
01:15:00.000Z,01:30:00.000Z,17.88541610424335,0.4885057471264368,,,,,5.42784167919308E-4,5.42784167919308E-4,5.42784167919308E-4,,,,,,,,540000,360000,
01:30:00.000Z,01:45:00.000Z,17.885415840148923,0.4885057471264368,,,,,,,,,,,,,,,540000,360000,
01:45:00.000Z,02:00:00.000Z,17.88541603088379,0.4885057471264368,,,,,,,,,,,,,,,900000,,
02:00:00.000Z,02:15:00.000Z,17.88541603088379,0.4885057471264368,,,,,,,,,,,,,,,900000,,
02:15:00.000Z,02:30:00.000Z,17.88541603088379,0.4885057471264368,,,,,,,,,,,,,,,900000,,
02:30:00.000Z,02:45:00.000Z,17.885416838702035,0.4885057471264368,,,,,,,,,,,,,,,900000,,
02:45:00.000Z,03:00:00.000Z,17.885416732114905,0.4885057471264368,,,,,,,,,,,,,,,780000,,120000
03:00:00.000Z,03:15:00.000Z,17.88541590466219,0.4885057471264368,,,,,,,,,,,,,,,720000,180000,
03:15:00.000Z,03:30:00.000Z,17.885416746139526,0.4885057471264368,,,,,,,,,,,,,,,120000,780000,
03:30:00.000Z,03:45:00.000Z,17.885416746139526,0.4885057471264368,,,,,,,,,,,,,,,900000,,
03:45:00.000Z,04:00:00.000Z,17.885416746139526,0.4885057471264368,0.2970018,32.6091396,0.2970018,32.6091396,,,,,,,,,,,900000,,
